City,Hotel_Name,Price_Per_Night,Rating,Type
Hubli,Nrupatunga Stay,1200,3.5,Budget
Vijayawada,Krishna Residency,1500,3.8,Budget
Vijayawada,Durga Comforts,1300,3.6,Budget
Tirupati,Tirumala Residency,1800,4.0,Budget
Tirupati,Pilgrim Palace,1500,3.8,Budget
Warangal,Kakatiya Residency,1400,3.7,Budget
Warangal,Ramappa Stay,1200,3.5,Budget
Nizamabad,Ali Sagar Inn,1300,3.6,Budget
Nizamabad,Fort Residency,1200,3.5,Budget
Chandigarh,City Beautiful Hotel,2200,4.2,Budget
Chandigarh,Sukhna Residency,1800,3.9,Budget
Amritsar,Golden Stay,1900,4.1,Budget
Amritsar,Wagah Residency,1600,3.8,Budget
Ludhiana,Rose Garden Inn,1500,3.7,Budget
Ludhiana,Punjab Residency,1300,3.5,Budget
Shimla,Snow Valley Hotel,2600,4.3,Budget
Shimla,Hill View Stay,2000,3.9,Budget
Manali,Hill View Resort,2800,4.4,Budget
Manali,Solang Residency,2200,4.0,Budget
Dehradun,Forest Residency,1700,3.9,Budget
Dehradun,Cave View Inn,1400,3.7,Budget
Haridwar,Ganga Residency,1500,3.8,Budget
Haridwar,Pilgrim Stay,1200,3.5,Budget
Srinagar,Dal Lake Resort,3000,4.5,Budget
Srinagar,Kashmir Residency,2400,4.1,Budget
Jammu,Temple Residency,1800,3.9,Budget
Jammu,Fort Comfort Inn,1500,3.7,Budget
Gangtok,Himalayan Residency,2200,4.2,Budget
Gangtok,MG Marg Inn,1800,3.9,Budget
Shillong,Cloud View Hotel,2000,4.0,Budget
Shillong,Umiam Residency,1700,3.8,Budget
Guwahati,Brahmaputra Inn,1800,3.9,Budget
Guwahati,Temple View Residency,1500,3.7,Budget
Aizawl,Hilltop Residency,1600,3.8,Budget
Aizawl,Valley Stay,1300,3.6,Budget
Imphal,Loktak Residency,1600,3.8,Budget
Imphal,Fort Comfort Inn,1300,3.6,Budget
Itanagar,Himalaya Residency,1700,3.9,Budget
Itanagar,Ganga Lake Inn,1400,3.7,Budget
Nagpur,Orange City Residency,1500,3.8,Budget
Nagpur,Lake View Inn,1300,3.6,Budget
Nashik,Vineyard Residency,1700,3.9,Budget
Nashik,Temple Stay,1400,3.7,Budget
Aurangabad,Heritage Cave Resort,1900,4.0,Budget
Aurangabad,Ellora Residency,1600,3.8,Budget
Udaipur,Lake Palace Stay,3000,4.5,Budget
Udaipur,Royal Residency,2200,4.0,Budget
Jodhpur,Blue City Inn,2200,4.2,Budget
Jodhpur,Fort Residency,1800,3.9,Budget
Bikaner,Desert Residency,1800,3.9,Budget
Bikaner,Karni Comfort Inn,1500,3.7,Budget
