City,State,Budget_Hotel,Food_Per_Day,Transport,Places
Bhubaneswar,Odisha,850,350,180,Lingaraj Temple|Nandankanan Zoo|Udayagiri Caves|Dhauli Hills|Mukteswara Temple|Khandagiri Caves
Cuttack,Odisha,800,320,170,Barabati Fort|Netaji Birth Place Museum|Mahanadi Barrage|Cuttack Chandi Temple|Deer Park|Stone Revetment
Kochi,Kerala,950,450,220,Fort Kochi|Marine Drive|Mattancherry Palace|Chinese Fishing Nets|Cherai Beach|Jew Town
Thiruvananthapuram,Kerala,900,420,200,Padmanabhaswamy Temple|Kovalam Beach|Napier Museum|Poovar Island|Veli Lake|Shangumugham Beach
Kozhikode,Kerala,850,400,190,Kozhikode Beach|Mananchira Square|Beypore Beach|SM Street|Kappad Beach|Tali Temple
Coimbatore,Tamil Nadu,850,400,180,Marudamalai Temple|VOC Park|Siruvani Waterfalls|Adiyogi Shiva|Black Thunder|Brookefields Mall
Madurai,Tamil Nadu,900,400,200,Meenakshi Temple|Thirumalai Nayakkar Palace|Gandhi Museum|Alagar Kovil|Vaigai Dam|Koodal Azhagar Temple
Tiruchirappalli,Tamil Nadu,850,350,180,Rockfort Temple|Srirangam Temple|Kallanai Dam|Butterfly Park|Samayapuram Temple|Mukkombu
Mysore,Karnataka,950,420,220,Mysore Palace|Chamundi Hills|Brindavan Gardens|Mysore Zoo|St. Philomena Church|Karanji Lake
Mangalore,Karnataka,850,380,180,Panambur Beach|Kadri Temple|Tannirbhavi Beach|Sultan Battery|Pilikula Park|Someshwara Beach
Hubli,Karnataka,800,350,170,Unkal Lake|Nrupatunga Betta|Chandramouleshwara Temple|Glass House Garden|Banashankari Temple|Indira Gandhi Glass House
Vijayawada,Andhra Pradesh,850,380,180,Kanaka Durga Temple|Bhavani Island|Undavalli Caves|Prakasam Barrage|Gandhi Hill|Amaravati
Tirupati,Andhra Pradesh,950,400,220,Tirumala Temple|Talakona Waterfalls|Chandragiri Fort|ISKCON Temple|Sri Kapileswara Temple|Deer Park
Warangal,Telangana,850,350,180,Warangal Fort|Ramappa Temple|Bhadrakali Temple|Pakhal Lake|Thousand Pillar Temple|Kakatiya Musical Garden
Nizamabad,Telangana,800,320,160,Nizamabad Fort|Ali Sagar Reservoir|Dichpally Temple|Pocharam Wildlife Sanctuary|Mallaram Forest|Sarangapur Temple
Chandigarh,Chandigarh,1100,500,300,Rock Garden|Sukhna Lake|Rose Garden|Elante Mall|Japanese Garden|Capitol Complex
Amritsar,Punjab,950,420,220,Golden Temple|Jallianwala Bagh|Wagah Border|Durgiana Temple|Partition Museum|Gobindgarh Fort
Ludhiana,Punjab,850,380,180,Punjab Agricultural University Museum|Nehru Rose Garden|Phillaur Fort|Rakh Bagh Park|Maharaja Ranjit Singh Museum|Hardy's World
Shimla,Himachal Pradesh,1200,500,300,Mall Road|Jakhoo Temple|Kufri|Christ Church|Green Valley|The Ridge
Manali,Himachal Pradesh,1300,550,320,Solang Valley|Rohtang Pass|Hadimba Temple|Manu Temple|Jogini Falls|Old Manali
Dehradun,Uttarakhand,1000,450,250,Robber’s Cave|Sahastradhara|Forest Research Institute|Mindrolling Monastery|Tapkeshwar Temple|Malsi Deer Park
Haridwar,Uttarakhand,900,400,220,Har Ki Pauri|Mansa Devi Temple|Chandi Devi Temple|Bharat Mata Temple|Shantikunj|Daksha Mahadev Temple
Srinagar,Jammu and Kashmir,1400,600,350,Dal Lake|Gulmarg|Mughal Gardens|Shankaracharya Temple|Nishat Bagh|Sonamarg
Jammu,Jammu and Kashmir,1000,450,250,Vaishno Devi|Raghunath Temple|Bahu Fort|Mubarak Mandi Palace|Bagh-e-Bahu|Peer Kho Cave
Gangtok,Sikkim,1200,500,300,MG Marg|Tsomgo Lake|Nathula Pass|Rumtek Monastery|Ganesh Tok|Banjhakri Falls
Shillong,Meghalaya,1100,480,280,Umiam Lake|Elephant Falls|Shillong Peak|Ward's Lake|Don Bosco Museum|Laitlum Canyons
Guwahati,Assam,950,420,220,Kamakhya Temple|Brahmaputra Riverfront|Umananda Island|Assam State Zoo|Pobitora Wildlife Sanctuary|Navagraha Temple
Aizawl,Mizoram,900,400,200,Reiek Peak|Durtlang Hills|KV Paradise|Mizoram State Museum|Falkawn Village|Solomon Temple
Imphal,Manipur,900,400,200,Loktak Lake|Kangla Fort|INA Memorial|Shree Govindajee Temple|Keibul Lamjao Park|War Cemetery
Itanagar,Arunachal Pradesh,950,420,220,Itanagar Fort|Ganga Lake|Buddhist Temple|Jawaharlal Nehru Museum|Indira Gandhi Park|Polo Park
Nagpur,Maharashtra,850,350,180,Deekshabhoomi|Ambazari Lake|Futala Lake|Dragon Palace Temple|Ramtek Temple|Maharajbagh Zoo
Nashik,Maharashtra,900,380,200,Trimbakeshwar Temple|Sula Vineyards|Pandavleni Caves|Coin Museum|Anjaneri Hills|Muktidham Temple
Aurangabad,Maharashtra,950,400,220,Ajanta Caves|Ellora Caves|Bibi Ka Maqbara|Daulatabad Fort|Panchakki|Grishneshwar Temple
Udaipur,Rajasthan,1200,500,300,City Palace|Lake Pichola|Sajjangarh Palace|Fateh Sagar Lake|Jag Mandir|Saheliyon Ki Bari
Jodhpur,Rajasthan,1100,480,280,Mehrangarh Fort|Umaid Bhawan Palace|Clock Tower|Jaswant Thada|Mandore Gardens|Toorji Ka Jhalra
Bikaner,Rajasthan,1000,450,250,Junalgarh Fort|Karni Mata Temple|Lalgarh Palace|Camel Breeding Farm|Gajner Palace|National Research Centre on Camel
